title_de,title_ru
"Gartenbauverein Grabenstätt: Herbstversammlung","Садоводческое общество Грабенштетта: осеннее собрание"
Spieleabend,"Вечер игр"
"Workshop Familienrecht ""Eine Ehe zerbricht - und das Leben geht trotzdem weiter""","Семинар по семейному праву «Брак распадается — но жизнь продолжается»"
"Der Fälscher",Фальшивомонетчик
"Baumkraxln und Flying Fox - Ein Erlebnis mit unserem OUTDOOR-TEAM","Бамкракслн и Flying Fox — приключение с нашей OUTDOOR-TEAM"
"Zuchtviehmarkt des Rinderzuchtverbands Traunstein","Рынок племенного скота Ассоциации скотоводов Траунштайна"
"Kinder und Jugendtheater","Детский и юношеский театр"
"Vorlesestunde - Putzi und sein Freund Felix","Час чтения — Пуци и его друг Феликс"
"VdK Infostunde","Информационный час VdK"
"950 Jahre Burg Marquartstein","950 лет замку Марквартштайн"
"Rottauer Krautfest","Фестиваль капусты в Роттау"
Liegestuhlmoment,"Момент на шезлонге"
"Vernissage Fotoausstellung ""Heimat im Blick"" – Menschen, Berge & Wasser zwischen Achental und Chiemgau","Вернисаж фотовыставки «Взгляд на родину» — люди, горы и вода между Ахенталем и Кимгау"
"Auftaktveranstaltung der neuen unabhängigen Wählergemeinschaft ""Wössen Mitnand""","Стартовое мероприятие нового независимого избирательного объединения «Wössen Mitnand»"
"Ausstellung: „Das Trostberger Dreiecksrennen“ in den 1950er Jahren","Выставка: «Треугольная гонка в Тростберге» в 1950-х годах"
"Der Singkreis trifft sich in Bergen ""Singa is unser Freid""","Вокальный кружок собирается в Бергене «Singa is unser Freid»"
"Gedenkgottesdienst Gartenbauverein","Памятная служба Садоводческого общества"
"Richard Oehmann","Рихард Оэманн"
"Traunreuter Kirta","Траунройтер Кирта"
"Fotoausstellung ""Heimat im Blick"" – Menschen, Berge & Wasser zwischen Achental und Chiemgau","Фотовыставка «Взгляд на родину» – люди, горы и вода между Ахенталем и Кимгау"
"Käseseminar auf der Hocherbalm","Семинар по сыроделию в Хохербальм"
"Kräuterwanderung - Wurzeln","Прогулка по травам - Корни"
Herbstversammlung,"Осеннее собрание"
"TanzTheater Gekko","Танцевальный театр Gekko"
"Gemeindebücherei: Bayern im Buch","Общественная библиотека: Бавария в книгах"
"Vorlesestunde für Kinder ab 6 Jahren","Час чтения для детей от 6 лет"
"Führung durch die Frauenkirche in Niederachen","Экскурсия по церкви Frauenkirche в Нидерахене"
"Deutsche Meisterschaft Einzelstrecke/Internationales Rennen","Чемпионат Германии по индивидуальному забегу/Международные соревнования"
"Gemeinsam in der Au - Vereinsgründung","Вместе в Ау - Основание клуба"
"Siegsdorfer Mädels Flohmarkt","Блошиный рынок девушек из Зигсдорфа"
"Pfarrei Erlstätt: Jahresessen","Приход Эрльштетт: ежегодный ужин"
"SK Confiserie & Weinbar: Live-Musik mit Don Cotletto","SK Confiserie & Weinbar: живая музыка с Доном Котлетто"
"Festakt 125 Jahre Hist. Verein Tittmoning","Торжественная церемония 125-летия Исторического общества Титмонинга"
"Doppelkonzert der Musikkapellen Reit im Winkl & Marquartstein","Двойной концерт музыкальных коллективов Райт-им-Винкль и Марквартштайн"
Konzertabend,"Концертный вечер"
"Kabarett ""Älter werden die Andern""","Кабаре «Стареют другие»"
"Rudi Zapf und Zapf'nstreich","Rudi Zapf и Zapf'nstreich"
"Urban Priol - Im Fluss!","Urban Priol - Im Fluss!"
Vereinshoagart,Vereinshoagart
"Mojo Blues Band","Mojo Blues Band"
"Sternführung auf der Winklmoos-Alm (erster Sternenpark in den Alpen)","Экскурсия по звездам на Winklmoos-Alm (первый парк звезд в Альпах)"
"Ausflug Verein für Heimatpflege und Kultur","Экскурсия Общества по сохранению культурного наследия и культуры"
Trageworkshop,"Мастер-класс по переноске"
"Annette's Brotbackerei - Grundkurs mit Weizen-, Roggenmehlen, Hefe und Sauerteig","Пекарня Annette's Brotbackerei - базовый курс по выпечке хлеба из пшеничной и ржаной муки, дрожжей и закваски"
Dorfmarkt,"Деревенский рынок"
"Bei der Ziegenkäserei - Selber Käse machen und Brot backen","На козьей ферме — самостоятельное изготовление сыра и выпечка хлеба"
"Jahreshauptversammlung VdK Waging","Ежегодное общее собрание VdK Waging"
"5. Reiterflohmarkt in Seeon","5-й конный блошиный рынок в Зеоне"
"Bogenschießen auf der Alm","Стрельба из лука на альме"
"VdK Ortsverband Bayern: Jahreshauptversammlung mit Neuwahlen","VdK Ortsverband Bayern: ежегодное общее собрание с новыми выборами"
"Vierkampf 2025","Четырехборье 2025"
Friedenschor,Friedenschor
"Golf Academy & Friends 9 Loch Turnier Gut Ising","Golf Academy & Friends 9-луночный турнир Gut Ising"
"Weinfest der FFW Siegsdorf","Фестиваль вина FFW Siegsdorf"
"SK Confiserie & Weinbar: Live-Musik mit Silver Folk","SK Confiserie & Weinbar: живая музыка с Silver Folk"
"KomponistInnen in Bayern","Композиторы в Баварии"
"Almhoagascht zu Kirchweih","Almhoagascht на ярмарке"
"Die Münchner Band Kopfeck","Мюнхенская группа Kopfeck"
"Geführte Vogelbeobachtung in Chieming","Экскурсия с наблюдением за птицами в Киминг"
"Pfarrei Erlstätt: Kirchweihsonntag","Приход Эрльштатт: воскресенье ярмарки"
"""Oktoberfest"" auf der Unternberg-Alm","«Октоберфест» на альпийской лужайке Унтернберг"
"Brunch im PAPILLON","Бранч в PAPILLON"
"Festlicher Kirchweihgottesdienst","Торжественная церковная служба"
"„Kirta-Markt“ im Ortszentrum von Unterwössen","«Kirta-Markt» в центре города Унтервёссен"
"""D`SCHEE LAUT MUSI"" waxt heid auf","«D`SCHEE LAUT MUSI» waxt heid auf"
"Kirchweih im Café Paula","Ярмарка в кафе Paula"
"Dorfkirta Truchtlaching","Деревенская ярмарка Truchtlaching"
Tachinger-See-Lauf,"Забег Tachinger-See-Lauf"
"Standkonzert der Musikkapelle Wössen an Kirchweih","Концерт духового оркестра Wössen на ярмарке"
"Dirndlschaft Erlstätt: Kirchweihkranzl mit Kirtahutschn","Dirndlschaft Erlstätt: церковный венец с Kirtahutschn"
"Kirchweihfest mit Kirtahutschn","Церковный праздник с Kirtahutschn"
"DEC Frillensee Inzell - EHC Waldkraiburg 1b","DEC Frillensee Inzell - EHC Waldkraiburg 1b"
"Richard Oehmann „Derbleckereien“","Ричард Оэманн «Derbleckereien»"
"Kirchweihgans im Goldenen Pflug","Церковный гусь в Goldenen Pflug"
"Kirchweihsonntag Kirtahutschn in Knesing","Церковное воскресенье Kirtahutschn в Кнезинг"
"Kirtahutschn im Hefterstadel","Kirtahutschn в Hefterstadel"
"Musikalischer Kirtag","Музыкальный Kirtag"
"Moorwanderung durch die Staudacher Filzen","Прогулка по болотам Staudacher Filzen"
"Gemeinsam geht mehr - Austauschabend für neue Perspektiven","Вместе больше - вечер обмена для новых перспектив"
"Offener Stammtisch der UNIX-Freunde Süd-Ost-Oberbayern","Открытый стол друзей UNIX Юго-Восточной Верхней Баварии"
"Einladung zur Veranstaltungsreihe ""Zuhören"" mit Eröffnung einer Porträt Ausstellung","Приглашение на серию мероприятий «Слушать» с открытием выставки портретов"
"Wasser- und Bodenverband Grabenstätter Moos: Jahreshauptversammlung","Ассоциация по охране водных и земельных ресурсов Grabenstätter Moos: ежегодное общее собрание"
"Bergen: Dorfschießen","Берген: деревенская стрельба"
"Bogenschießen am Gut Steinbach - Ein Erlebnis mit unserem OUTDOOR-TEAM","Стрельба из лука на поместье Штайнбах — приключение с нашей OUTDOOR-TEAM"
Entwicklungstraumata,"Травмы развития"
"Von Krieg und Liebe und einem Gerichtstag in Grassau","О войне, любви и дне суда в Грассау"
"SEEcrets: Rainbow Girls","SEEcrets: Rainbow Girls"
After-Work-Jam-Session,After-Work-Jam-Session
"Lisa Schweidler - Aslebnisafreid","Лиза Швайдлер — Aslebnisafreid"
"Beckenbodengymnastik in Seeon","Гимнастика для тазового дна в Зеоне"
"Senioren Kaffee-Kränzchen","Кофе-кружок для пожилых"
"Herbstversammlung des Gartenbauvereins Chieming","Осеннее собрание садоводческого общества Киминг"
"Musikalische Kirchenführung in Sondermoning","Музыкальная экскурсия по церкви в Зондермонинге"
"Gottesdienst Ehejubilare","Богослужение для юбиляров брака"
"Der Weg ist weiter als das Ziel 2.0 | Christoph Strasser","Путь длиннее цели 2.0 | Кристоф Штрассер"
Garish,Garish
"Springturnier auf Gut Ising","Турнир по прыжкам на поместье Изинг"
"Dressurturnier und Halbfinale ""DERBY Stars von Morgen""","Турнир по выездке и полуфинал «DERBY Stars von Morgen»"
"Treffpunkt Grün: Kräuterlehrgang - Wie werden Wurzeln zu Heilmittel?","Место встречи «Зелень»: курс по травам — как корни становятся лекарством?"
"Ponyreiten am Reitstall ""Beim Draxl"" - Ein Erlebnis mit unserem OUTDOOR-TEAM","Верховая езда на пони в конюшне «Beim Draxl» — приключение с нашей OUTDOOR-TEAM"
"""Pusteblume - Die Geschichte eines Schirmfliegers"" - Bilderbuchkino","«Pusteblume — Die Geschichte eines Schirmfliegers» — кинотеатр с иллюстрированными книгами"
Schafkopfrennen,"Соревнования по игре в карты «Schafkopf»"
"30-Jahre Jubiläumsfeier Landhaus Tanner","30-летний юбилей Landhaus Tanner"
"Zeit für Dich - Zeit für Gott","Время для себя — время для Бога"
Gauherbstversammlung,"Осеннее собрание"
"Bergen: Premiere Theater","Берген: премьера театра"
"Josef Rammelsberger und Koll","Йозеф Раммельсбергер и Колл"
"Severin Rauch's Leg Transporter","Северин Раух «Leg Transporter»"
"Wine & Dine","Wine & Dine"
"Kindertag im PAPILLON - ""St. Martin""","День детей в PAPILLON — «Святой Мартин»"
"Bergen: 4. Hochfellner Martinimarkt","Берген: 4-й рынок Мартина Хохфелнера"
"Erlebnistage LandWIRtschaft - Aus Forst wird wieder Wald","Дни приключений LandWIRtschaft — лес снова становится лесом"
"Ruderregatta - ""Ruperti-Pokal""","Гребная регата — «Кубок Руперти»"
"Fußwallfahrt nach Traunwalchen mit der Frauengemeinschaft Hart","Пешее паломничество в Траунвальхен с женским сообществом Харт"
"Puppet-Magic Halloween-Show | Dirk Bennert","Кукольное шоу «Магия Хэллоуина» | Дирк Беннерт"
"FAMILIEN-WORKSHOP Natur & digital: Mit dem Tablet draußen unterwegserweg","СЕМЕЙНЫЙ СЕМИНАР «Природа и цифровые технологии: с планшетом на природе»"
"3-Stunden Enduro","3-часовой эндуро"
"Spielenachmittag vom ""Bund der Alten Arzter""","Игровой день от «Союза старых врачей»"
"Fußball-Spiel - FC Reit im Winkl gegen den SG Übersee/Grassau","Футбольный матч — ФК «Райт-им-Винкль» против СГ «Übersee/Grassau»"
"„ BACH & BLUES DRESDEN“","«BACH & BLUES DRESDEN»"
"Sinfonisches Konzert Traunstein","Симфонический концерт в Траунштайне"
"Pilsei-Zeitreise im Pubbines","Путешествие во времени Pilsei в Pubbines"
"FFW Erlstätt: Standrohrparty","FFW Erlstätt: вечеринка Standrohrparty"
"Vocalensemble Al Dente","Вокальный ансамбль Al Dente"
"Sonja Pikart","Соня Пикарт"
"Doppelkonzert mit der Musikkapelle Pfunders & Musikkapelle Vogling-Siegsdorf","Двойной концерт с музыкальными коллективами Musikkapelle Pfunders и Musikkapelle Vogling-Siegsdorf"
Falschgeld,"Поддельные деньги"
"Golfclub Gut Ising - Abgolfen 2025","Гольф-клуб Gut Ising — Abgolfen 2025"
"Herbstmarkt am Blattl-Sonntag","Осенний рынок в Blattl-Sonntag"
"Leonhardi Ritt nach Weiher","Leonhardi Ritt nach Weiher"
"Terminabsprache Ottinger Vereine","Согласование дат Ottinger Vereine"
"Seebrucker Musi-Frühschoppen","Seebrucker Musi-Frühschoppen"
"OKASERN mit dem ""Reitertal-Quintett"" - heid geht`s wieder amoi richtig RUND","OKASERN с «Reitertal-Quintett» — сегодня снова будет весело"
"Ayurveda Workshop ""Herbstzauber""","Аюрведический семинар «Осеннее волшебство»"
"""Historisches Gemäuer erzählt"": Stadtführung Tittmoning","«Исторические стены рассказывают»: экскурсия по городу Титмонинг"
"Bergen: Theater","Берген: театр"
"Festakt zum 50-jährigen Jubiläum der Musikschule Grassau","Торжественная церемония по случаю 50-летия музыкальной школы Грассау"
"DEC Frillensee Inzell - SG ESV Bad Bayersoien / EC Peiting 1 b","DEC Frillensee Inzell — SG ESV Bad Bayersoien / EC Peiting 1 b"
"Jörg Hegemann & Peter Reber - Boogie-Woogie an zwei Klavieren","Йорг Хегеманн и Петер Ребер — буги-вуги на двух фортепиано"
Wirtshauskirta,Wirtshauskirta
"Pusteblume - Bilderbuchausstellung","Pusteblume — выставка иллюстрированных книг"
"Live Aufgspuit Traunstein","Live Aufgspuit Traunstein"
"SPD Stammtisch","SPD Stammtisch"
"Gott und die Welt 2025- Spieleabend","Бог и мир 2025 — вечер игр"
"CSU-Aufstellungsversammlung für die Kommunalwahl am 08.03.2026","Собрание CSU по выдвижению кандидатов на муниципальные выборы 08.03.2026"
"Kunstausstellung ""DREI FARBSPIELE""","Художественная выставка «ТРИ ИГРЫ ЦВЕТОВ»"
"Kneippverein Wandergruppe: Wanderung zur Baumgartneralm (1050m)","Клуб Кнайпа, группа любителей пеших прогулок: поход к Баумгартнеральм (1050 м)"
"Martini - Treff","Встреча Мартини"
"Vorstellung der möglichen Schallschutzwände entlang der Bahn","Презентация возможных звукоизоляционных стен вдоль железной дороги"
"Führung Schloss Pertenstein","Экскурсия по замку Пертенштайн"
"Gartlerabend - Thema: Hagelflieger","Вечер садоводов — тема: самолеты для борьбы с градом"
"Live im Bacchus: AustriX PUR","Live im Bacchus: AustriX PUR"
"""Run for fun"" Kinder- und Jugendcrosslauf","«Run for fun» — кросс для детей и молодежи"
"Schnupperstunde bei der Feuerwehr Seeon","Пробное занятие в пожарной части Зеон"
"Heimspiel SBC Handball Frauen Bezirksklasse 2","Домашний матч женской команды SBC по гандболу, районная лига 2"
"Heimspiel SBC Handball Herren Bezirksliga 2","Домашний матч мужской команды SBC по гандболу, районная лига 2"
Zuchtschau,"Выставка племенных животных"
"Kindertheater ""Pettersson zeltet""","Детский театр «Петтерссон в походе»"
"Bezirksbildungstag - Lebenswandel - In Verantwortung vor Gott und den nachfolgenden Generationen","День образования района — Изменение образа жизни — Ответственность перед Богом и будущими поколениями"
"Gut Sossau: Hofverkauf - Feines aus der Region -","Ферма Sossau: Продажа фермерских продуктов — Деликатесы из региона —"
"Standkonzert zu Kirchweih","Концерт на ярмарке"
"Kirchweihsonntag Kirtahutschn auf dem Gschwendner-Hof in Außerlohen","Воскресенье ярмарки Kirtahutschn на ферме Gschwendner в Außerlohen"
"VdK Stammtisch vom Ortsverband Traunstein","Встреча VdK от местного отделения Traunstein"
Bürgerversammlung,"Собрание граждан"
"Einladung zur Gemeindeversammlung","Приглашение на собрание общины"
"Bergen: Premiere Theater ""Deifi Sparifankerl""","Берген: премьера спектакля «Deifi Sparifankerl»"
"Pfarrverband Hl. Franz von Assisi: Amtseinführung von Pater Andrei Mirt","Приход Святого Франциска Ассизского: вступление в должность отца Андрея Мирта"
"Sternschnuppe - lustige Abenteuerlieder aus dem Koffer","Стрелка — веселые песни о приключениях из чемодана"
"Bergen: Theater - ""Deifi Sparifankerl""","Берген: спектакль «Deifi Sparifankerl»"
"Medien in der Familie: Infoveranstaltung für Eltern von 10- bis 14-jährigen, Schwerpunkt","СМИ в семье: информационное мероприятие для родителей детей от 10 до 14 лет, основной акцент"
"Gute Laune Frühstück für Senioren","Хорошее настроение Завтрак для пожилых"
"Kasperl & Mucki bei der Feuerwehr - ein bairisches Kasperlspiel","Касперль и Муки в пожарной части — баварский спектакль с куклами"
"offenes Malen","Открытая живопись"
"Lachtreff im ORT","Встреча смеха в ORT"
Eisstockschießen,Кегельбан
"Kaffeenachmittag im Treffpunkt M","Кофейное послеобеденное время в Treffpunkt M"
"Informationsveranstaltung Kommunale Wärmeplanung der Gemeinde Siegsdorf","Информационное мероприятие по коммунальному теплоснабжению общины Зигсдорф"
"Musikalische Kirchenführung","Музыкальная экскурсия по церкви"
"Gemeinsam Gutes tun - Communities of Practice","Делать добро вместе — сообщества практиков"
"Leo Betzl Trio","Трио Лео Бетцля"
"Sarah Hakenberg","Сара Хакенберг"
"Berge - Steine - Mythen","Горы — камни — мифы"
"Vorlesestunde für Kinder in Seeon","Час чтения для детей в Зеоне"
"Puppet - Magic - Halloween Show","Кукольное шоу — магия — Хэллоуин"
"Probeschießen - Dorfschießen Taching","Пробная стрельба — деревенская стрельба в Тахинге"
"Offenes Spinntreffen","Открытая встреча прядильщиков"
"Konzert der Camerata Prien","Концерт Camerata Prien"
"Bergen: Preisverteilung Dorfschießen","Берген: награждение победителей деревенской стрельбы"
"Zeltl'n 2025- Konzert und Kabarett","Zeltl'n 2025 — концерт и кабаре"
"Sommernachtstraum weißblau","Летняя ночь бело-голубая"
"Theaterverein Reit im Winkl - Theater PREMIERE","Театральный клуб Reit im Winkl — театральная ПРЕМЬЕРА"
"Black Pumpkin Party in Seeon","Black Pumpkin Party в Зеоне"
"AC/DC Party","AC/DC Party"
"Out of Rosenheim | Söhne Traunreuts","Out of Rosenheim | Сыновья Траунроита"
"Bella Wakame","Белла Вакаме"
"Allerheiligen - Totengedenken","День всех святых - поминовение усопших"
"Sammlung für Kriegsgräber","Сбор средств для военных захоронений"
"Allerheiligen Gräbersegnung beim Kirchlein St. Johann in Stöttham","День всех святых Освящение могил в церкви Св. Иоанна в Штетхаме"
Allerheiligen,"День всех святых"
"Dorfschießen Taching","Деревенская стрельба в Тахинге"
"Das Kriminal Dinner","Криминальный ужин"
"Live Musik im PAPILLON - ""Music made with love""","Живая музыка в PAPILLON - «Музыка, созданная с любовью»"
"Allerheiligenandacht und Gräbersegnung","Всех святых и освящение могил"
Allerseelen,"День всех душ"
"Tönchen Ensemble: Sieben Tönchen auf einen Streich","Ансамбль Tönchen: Семь Tönchen за раз"
Adam-Gumpelzhaimer-Chor,"Хор Adam-Gumpelzhaimer"
"Malen in den Ferien - Fantasietiere malen und basteln","Рисование в каникулы - рисование и поделка фантастических животных"
Herbstbasteln,"Осенние поделки"
"Kasperltheater in Seeon: „Kasperl & die verzauberte Mülltonne""","Кукольный театр в Зеоне: «Касперль и заколдованная мусорная бака»"
"Chieminger Dorfschießen","Стрельба в деревне Киминг"
"Räuchern mit heimischen Pflanzen","Окуривание местными растениями"
"ZSG Grabenstätt: Gemeindeschießen","ZSG Grabenstätt: стрельба в общине"
"Micha Kern & Jordan Brodie","Миха Керн и Джордан Броди"
"Micha Kern & Jordan Brodie: A Night of Acoustic Guitar – Songs without Words","Миха Керн и Джордан Броди: «Ночь акустической гитары — песни без слов»"
"Musik aus der Diaspora","Музыка из диаспоры"
"Die Musik von Ludovico Einaudi – Tribute-Klavierkonzert","Музыка Лудовико Эйнауди — концерт-трибют для фортепиано"
"Mein Seelentraum - Mutmacherkonzert","Моя мечта души – концерт для поднятия настроения"
"Lykke Eira - Zwergenreise - für Kita`s & Kiga`s","Lykke Eira – Путешествие гномов – для детских садов и яслей"
"Lykke Eira - Zwergenreise","Lykke Eira – Путешествие гномов"
"Volle Kontrolle","Полный контроль"
"Der Weg ist weiter als das Ziel 2.0 - Extremradsportler","Путь важнее цели 2.0 – Экстремальные велосипедисты"
"Puppet-Magic Halloween-Show","Кукольное шоу «Магия Хэллоуина»"
"Jazz-Schulkonzert mit den Söhnen Traunreuts","Джазовый школьный концерт с сыновьями Траунройта"
"Out of Rosenheim","Out of Rosenheim"
"Per Anhalter nach Japan","Автостопом в Японию"
"Kleine Igel schlafen gern","Маленькие ежи любят спать"
"Limbo of Life","Лимбо жизни"
"Der gestiefelte Kater - für Kiga`s und Schulen","Кот в сапогах — для детских садов и школ"
"Der gestiefelte Kater","Кот в сапогах"
"Agar et Ismaele esiliati - Oratorium von Alessandro Scarlatti","Agar et Ismaele esiliati — оратория Алессандро Скарлатти"
"Knallwut - für Kita`s & Kiga`s - Ein Hoch auf die Gefühle","Knallwut — для детских садов и школ — Да здравствуют чувства"
"Die Calzinger Show","Шоу Кальцингера"
"Knallwut - Ein Hoch auf die Gefühle","Knallwut — Да здравствуют чувства!"
"10 Jahre","10 лет"
"Swing into Christmas","Swing into Christmas"
"Eine magische Elfenmission","Волшебная миссия эльфов"
"XMAS Zumba-Party","XMAS Zumba-Party"
"In Dulci Jubilo – Manifest der Lebensfreude - Weihnachtskonzert","In Dulci Jubilo — Манифест радости жизни — Рождественский концерт"
"Tarzan - das Musical","Тарзан — мюзикл"
Winter-Wunder-Varieté,"Зимнее чудо-вариете"
"Bayerische Rauhnacht","Баварская Раухнахат"
Neujahrskonzert,"Новогодний концерт"
"Friendly Fire - Studio oder Saal","Friendly Fire — студия или зал"
"Eine Amsel macht doch keinen frommer!","Один черный дрозд еще не делает тебя благочестивым!"
"LUNARIS - Ein Weltraummärchen für Kiga`s und Schulen","LUNARIS — космическая сказка для детских садов и школ"
"LUNARIS - Ein Weltraummärchen","LUNARIS — космическая сказка"
"Das Geflüster der Seiten. Zwei Buchreihen - zwei Wege","Шепот страниц. Две серии книг — два пути"
"Jubilee! 20 Years of Brass!","Юбилей! 20 лет Brass!"
"Abenteuer Pubertät - So peinlich kommen wir nicht mehr zusammen - Studio oder Saal","Приключение подросткового возраста — Мы больше не будем так неловко общаться — студия или зал"
"Die allgemeine Zärtlichkeit","Общая нежность"
"Morgen sind wir wild und frei","Завтра мы будем дикими и свободными"
"Ding Dong",Дзинь-дзинь
"Emil und die Detektive","Эмиль и детективы"
"Emil und die Detektive - für Kiga`s & Schulen","Эмиль и детективы — для детских садов и школ"
"Das Lachen des Grünspechts","Смех зеленого дятла"
"Die Nacht der Musicals 2026","Ночь мюзиклов 2026"
"k1 | Kinderfasching","k1 | Детский карнавал"
"OSTAFRIKA – Fairer Handel, Wildlife, Digitales","OSTAFRIKA — справедливая торговля, дикая природа, цифровые технологии"
"Mary from Bavary - Endlich SOLO!","Мэри из Баварии — наконец-то СОЛО!"
"JUMP! Reloaded","JUMP! Reloaded"
"Fürchtet Euch! Die Buß- und Fastenpredigt mit","Бойтесь! Проповедь о покаянии и посте с"
"Pfui Spucke Lama & eine Überraschung - für Kita`s und Kiga`s","Pfui Spucke Lama & eine Überraschung — для детских садов и яслей"
"Pfui Spucke Lama & eine Überraschung","Pfui Spucke Lama & eine Überraschung"
"Die Zeit heilt alle Wunden","Время лечит все раны"
"BRETAGNE - Land im Meer","БРЕТАНЬ — земля в море"
"Falco - Die Show","Falco — шоу"
"Spontan in Traunreut - - Das Beste was Improvisationstheater zu bieten hat","Спонтанно в Траунройте – лучшее, что может предложить театр импровизации"
"Liebe, Lust & Hexenschuss","Любовь, страсть и люмбальная боль"
"Conni - Das Musical","Конни – мюзикл"
Notenlos,"Без нот"
"Die Räuber - für Schulen - von Friedrich Schiller","Разбойники – для школ – Фридрих Шиллер"
BUMM,БУМ
Mädelsflohmarkt,"Девичья блошиный рынок"
"Pfläge lieber ungewöhnlich! - Studio/Saal","Ухаживай необычно! – Студия/зал"
"Tagebuch eines Komikers 1","Дневник комика 1"
"Toskana - Italiens Traumlandschaft","Тоскана - итальянский пейзаж мечты"
"Fuchs hast Du die Gans gestohlen?","Фокс, ты украл гуся?"
Frühjahrskonzert,"Весенний концерт"
"Shakespeares Hamlet - Das Rockmusical","Гамлет Шекспира - рок-мюзикл"
"still & lebendig","Тихо и живо"
"BR Brettl-Spitzen LIVE","BR Brettl-Spitzen LIVE"
"20 Jahre Liebe und Kernöl","20 лет любви и орехового масла"
"In 80 Tagen um die Welt","Вокруг света за 80 дней"
"Muttertagskonzert: Lebenswerke","Концерт ко Дню матери: Жизненные произведения"
"What's up Hoverup? - für Schulen","What's up Hoverup? — для школ"
"Beatbox Live Concert","Beatbox Live Concert"
"What's up Hoverup?","What's up Hoverup?"
"WINCENT WEISS - Sommertour 2026","WINCENT WEISS — Летний тур 2026"
Echsklusiv,Echsklusiv
"Tag des Lehmbaus","День строительства из глины"
"Lichtbildervortrag von Elisabeth Gröbner","Фотопрезентация Элизабет Грёбнер"
"Damensauna in der Natursauna Inzell","Женская сауна в природной сауне в Инцелле"
Bürgerspaziergang,"Прогулка граждан"
Vereinspreisplatteln,"Клубная награда platteln"
"21. Stiftungsfest der Diakonie im Achental","21-й учредительный фестиваль ""Диакония в Ахентале"
"FRAUENART 23","ФРАУЭНАРТ 23"
"Traditionelles Einheimischenfliegen 2025 an der DASSU","Традиционный местный полет 2025 года в DASSU"
"Reparaturcafe Traunstein","Ремонтное кафе Траунштайн"
"Geschenke der Natur","Дары природы"
"Italienischer Abend","Итальянский вечер"
"Verleihung Staatspreis - Waldwirtschaft","Вручение Государственной премии в области лесного хозяйства"
"La Zaide & Luma","La Zaide & Luma"
"Offenes Singen","Открытое пение"
Gottesdienst,"Церковная служба"
"Kostenloser Flamencokurs für Mädchen ab 14 Jahren","Бесплатный курс фламенко для девушек от 14 лет и старше"
"Flamencokurs für Mädchen im Kinder- und Ju-gendzentrum geht weiter","В детско-юношеском центре продолжается курс фламенко для девочек"
"Rundwanderung zum Wetterkreuz","Круговой поход к Веттеркройцу"
"Ministerpräsident Franz-Josef Strauß und Bayern - Perspektiven einer Forschungsaufgabe","Министр-президент Франц-Йозеф Штраус и Бавария - перспективы исследовательской задачи"
"Cinema italiano ""Io sono Li""","Итальянское кино ""Я сын Ли"""
Dorfspaziergang,"Прогулка по деревне"
"Eichenpflanzung zu Ehren von Joseph Beuys","Посадка дуба в честь Йозефа Бойса"
"Wine & Dine mit Weingut Lynx - Südafrika","Вино и ужин с винодельней Lynx - Южная Африка"
"Abschlusskonzert Meisterkurs Akkordeon","Заключительный концерт мастер-класса по аккордеону"
"Supermarkt im Lehmhaus - Kunst, Handwerk und Kreativität","Супермаркет в доме из грязи - искусство, ремесло и творчество"
"Assing 7: Schüttel das Knäck! Pixner trifft auf Haugaard & Blum","Ассинг 7: Встряхнись! Пикснер встречается с Haugaard & Blum"
"Geschichtenabend für Erwachsene","Вечер сказок для взрослых"
"Chris May - Live im Bacchus","Chris May - Live at Bacchus"
"3. Ruhpoldinger Badeenten-Rennen","3-я гонка купающихся уток в Рупольдинге"
"In die Welt der Düfte eintauchen und dabei die Seele der Pflanzen entdecken lernen","Погрузитесь в мир ароматов и научитесь открывать душу растений"
"Kirchenkonzert in Burg bei Tengling","Церковный концерт в Бурге близ Тенглинга"
"Bürgerversammlung 2025 - Anfragen vorab einreichen","Гражданское собрание 2025 - задавайте вопросы заранее"
"Nachhaltige Architektur von Anna Heringer trifft auf Jugendpädagogik","Устойчивая архитектура Анны Херингер встречается с молодежным образованием"
"Medien in der Familie: Infoveranstaltung für Eltern von 10- bis 14-jährigen","Медиа в семье: информационное мероприятие для родителей детей в возрасте от 10 до 14 лет"
"Wasser- und Bodenverband Marwanger- und Grabenstätter Mühlbach: Verbandsversammlung","Водно-почвенная ассоциация Марвангера и Грабенштеттера Мюльбаха: собрание ассоциации"
"Gemeindebücherei: Vorlese Geisterstunde","Общественная библиотека: час призрака для чтения вслух"
"Charity-Ausstellung Angela Sans ""COMING""","Благотворительная выставка Angela Sans ""COMING"""
"""Henschel & Friends"" mit Bernhard Siegel (Piano)","""Хеншель и друзья"" с Бернхардом Зигелем (фортепиано)"
"ZSG Grabenstätt: Gedächnisschießen","ZSG Grabenstätt: памятные съемки"
"Totengedenken und Gräbersegnung Unterwössen","Поминовение усопших и освящение могил в Унтервёссене"
"Sankt Valentiner Seelenzuckerl“: Totentanz","Sankt Valentiner Seelenzuckerl"": Танец смерти"
"Luise Kinseher - Mary from Bavary","Луиза Киншехер - Мария из Баварии"
"Geistliche Abendmusik zum Allerseelentag","Духовная вечерняя музыка ко Дню всех душ"
"DEC Frillensee Inzell - TSV Farchant","DEC Frillensee Inzell - TSV Farchant"
